Name,Model_Prediction,Human_Verdict,Confidence,male,female,common
shani,common,female,0.6516297840567143,0.0,0.0,0.0
sakshi,common,female,0.6544356540545063,0.0,0.0,0.0
rohit,common,male,0.5041469183521251,0.0,0.0,0.0
khushboo,common,female,0.4909202315650692,0.0,0.0,0.0
vaibhav,common,male,0.7729381616461496,0.0,0.0,0.0
bhupendra,common,male,0.7750683550070798,0.0,0.0,0.0
Tanya,common,female,0.7759539030654541,0.0,0.0,0.0
Tanay,common,male,0.6106912560040163,0.0,0.0,0.0
viraj,common,male,0.7255603973708303,0.0,0.0,0.0
vivek,common,male,0.7635561873176278,0.0,0.0,0.0
swastik,common,male,0.5403713156982802,0.0,0.0,0.0
mohan,common,male,0.6751221229637544,0.0,0.0,0.0
manoj,common,male,0.7318653747002877,0.0,0.0,0.0
asutosh,male,male,0.9040687952281702,0.0,0.0,0.0
ram,common,male,0.5114814399961851,0.0,0.0,0.0
rameshwari,common,female,0.7625748861905923,0.0,0.0,0.0
sudha,common,female,0.7756914557348997,0.0,0.0,0.0
rupal,common,female,0.6297218629139297,0.0,0.0,0.0
nilima,common,female,0.7243517874510462,0.0,0.0,0.0
neelam,common,female,0.7135002027731359,0.0,0.0,0.0
sailesh,common,male,0.6433632785797999,0.0,0.0,0.0
jhilesh,common,male,0.7284348788648084,0.0,0.0,0.0
sikha,common,female,0.7756914557348997,0.0,0.0,0.0
sujata,female,female,0.7825056740695268,0.0,0.0,0.0
tilesh,male,male,0.8002155804312575,0.0,0.0,0.0
bhumika,common,female,0.7703468403664518,0.0,0.0,0.0
suraj,common,male,0.4401320077460658,0.0,0.0,0.0
yashraj,female,male,1.0,0.0,0.0,0.0
Rupali,common,female,0.792439032239725,0.0,0.0,0.0
pushpendra,common,male,0.7795513619461082,0.0,0.0,0.0
dileep,male,male,0.8773371886472653,,,
deepak,male,male,0.9067096187719318,,,
deepak,male,male,0.9067096187719318,,,
deepika,common,female,0.6616738208840723,0.0,0.0,0.0
rihal,common,female,0.5711542719559211,0.0,0.0,0.0
raveena,female,female,0.8440803302916361,0.0,0.0,0.0
parvati,common,female,0.7175724895407425,0.0,0.0,0.0
yash,common,male,0.7392021044772401,0.0,0.0,0.0
kush,common,male,0.6316907191187339,0.0,0.0,0.0
love,common,male,0.4556558995623963,0.0,0.0,0.0
pushpanjali,common,female,0.6480759041957894,0.0,0.0,0.0
pushpa,common,female,0.7672581872758614,0.0,0.0,0.0
sangeeta,female,female,1.0,0.0,1.0,0.0
abhishek,male,male,0.913191199207805,0.0,0.0,0.0
Yaaswathi,common,female,0.8097130204747061,0.0,0.0,0.0
Yaamila,female,female,0.8521378318447231,0.0,0.0,0.0
pranav,common,male,0.7749917992934521,0.0,0.0,0.0
pratush,male,male,0.8940671849956606,0.0,0.0,0.0
purav,common,male,0.7516121175877666,0.0,0.0,0.0
bhaskar,common,male,0.5460970862175428,0.0,0.0,0.0
sunita,common,female,0.7870847199671127,0.0,0.0,0.0
soumya,common,common,0.7870847199671127,0.0,0.0,0.0
abhi,common,male,0.6496094692352191,0.0,0.0,0.0
sourav,common,male,0.4884108016164151,0.0,0.0,0.0
sourabh,common,male,0.6951224422076884,0.0,0.0,0.0
samarth,common,male,0.6951224422076884,0.0,0.0,0.0
sunil,common,male,0.42231918373392063,0.0,0.0,0.0
