Name,Gender
Amy,0
Disha,0
Prabhu,1
Atharva,1
Danika,0
Prit,1
Janak,1
Arman,1
Deepesh,1
Arti,0
Vir,1
Raakhee,0
Gutam,1
Nirupa,0
Yami,0
Priyadarshan,1
Raavi,0
Chitranjali,0
Tejaswini,0
Ram,1
Bhavin,1
Jogsingh,1
Tanima,0
Keerthi,0
Tushar,1
Risha,0
Esha,0
Tarang,1
Misri,0
Dhrumin,1
Bibbo,0
Apruva,1
Hiten,1
Chaya,0
Vishrut,1
Tanishaa,0
Namrata,0
Abhishek,1
Aamir,1
Palav,0
Imran,1
Nitesh,1
Kinya,0
Arpit,1
Shivam,1
Sakshi,0
Samita,0
Nihar,1
Monark,1
Soniya,0
Saif ali khan,1
Urvshi,0
Sillam,0
Shrushti,0
Rajeshwari,0
Akhtar,1
Darpan,1
Bharat,1
Tikmlal,1
Sandhya,0
Jal,0
Yukti,0
Gurmeet,1
Bhikha,1
Swastik,1
Satyam,1
Isha,0
Runina,0
Akshay,1
Ragini,0
Tooba,0
Shadab,1
Usha,0
Pinki,0
Sheela,0
Vidhisha,0
Ayushman,1
Ashi,0
Fiona,0
Minoo,0
Mital,0
Mital,0
Minal,0
Meenakshi,0
Kinshuk,1
Prutha,0
Kabir,1
Sahil,1
Ankita,0
Preeti,0
Umesh,1
Amrapali,0
Krishka,0
Mahendra,1
Miloni,0
Narendra,1
Sonalika,0
Raman,1
Namita,0
Doly,0
Anushka,0
Pragnesh,1
Pranjali,0
Chirag,1
Urja,0
Radhey,1
Madhubala,0
Divyesh,1
Aasif,1
Juhi,0
Rajat,1
Deep,1
Rina,0
Rizwan,1
Shweta,0
Raja,1
Akhilesh,1
Imarana,0
Shyam,1
Vashant,1
Sudhir,1
Sikha,0
Juhi,0
Rajshree,0
Rutava,0
Jyoti,0
Sanat,1
Hetal,0
Banasri,0
Padmini,0
Bhavik,1
Shreena,0
Veronica,0
Chakshu,0
Janu,0
Riya,0
Bilal,1
Masumi,0
Nia,0
Radhika,0
Rensi,0
Prachi,0
Vithal,1
Harsh,1
Pooja,0
Rihana,0
Mahakshay,1
Reena,0
Hemal,0
Maanvi,0
Saifali,0
Thakarshi,1
Ruturaj,1
Smita,0
Vikram,1
Neelay,1
Siddhant,1
Salina,0
Durga,0
Bhuvan,1
Baani,0
Mansi,0
Madhurima,0
Namik,1
Uma,0
Ganga,0
Abdul,1
Shivaji,1
